repo_owner,repo_name,complexity_score,success
src-anolis-os,libgpod,2,True
krystianklimczak,teamproject-html-css-anemone,13,True
SHAZzZ97,GitDemoRepo,8,True
J3LopezL,sanbryjoha,42,True
SENAI-Morvan-Figueiredo,ClinicaVolkmann,94,True
kitab-bazar,server,90,True
databricks,pileup.js,168,True
src-openeuler,perl-Pod-Coverage,11,True
mosn,configure,22,True
intercom,intercom-cordova,24,True
RavenProject,ravenproject.github.io,109,True
AliyunContainerService,ackdistro,60,True
leenlab2,reminiscence,114,True
372dev,CultureMate,13,True
Bogdawaa,iOS-FakeNFT-StarterProject-Public,32,True
marwankau,cpit210-activity-3,9,True
rapid7,pcaprub,28,True
kubevirt,demo,9,True
flowriteapp,flowrite,72,True
NikolaySavenko,bignum-wizard,8,True
temty180447,Calculator_-,14,True
eielelle,gradify-web,63,True
src-openeuler,jbossws-parent,9,True
src-openeuler,openstack-neutron-vpnaas,4,True
src-openeuler,crash,19,True
gustavoromito,eng-project,84,True
navikt,tilleggsstonader-sak-frontend,23,True
phrack,ShootOFF,130,True
Ureca-team-for-Miniproject,URECA-Cinema,20,True
ViveportSoftware,pc-lib,31,True
Pray2U,Algorithm-Study,194,True
HarmonyOS-tpc,MaterialProgressBar,17,True
src-openeuler,python-flake8-polyfill,9,True
Azure,azure-functions-vscode-web,4,True
takamuu,obento_takeout_app,70,True
opensearch-project,documentation-website,770,True
src-openeuler,glassfish-jsp,17,True
Codubee,FoodFiendsMW5-6,12,True
justinberg97,digital-wine-cellar,52,True
jenkinsci,byte-buddy-api-plugin,10,True
AIIT-OikawaPBL-2023,slack_bolt_sample,96,True
gasashi,freemarket_sample_65a,52,True
butlerch,Capstone_2022_2023,55,True
ngaut,unistore,136,True
YandexPraktikumDublin,PotatozationOfMars,68,True
Hack4Impact-Princeton,alp-portal,231,True
aemsites,vg-roadchoice-com,135,True
src-anolis-dde,kde-settings,4,True
apache,sling-org-apache-sling-validation-api,12,True
apache,sling-org-apache-sling-validation-test-services,10,True
src-openeuler,nodejs-set-immediate-shim,9,True
eclipse,emf-query,239,True
zukva,krokodiller,28,True
IBM,dap-blueprint,238,True
SimonStevns,gruppe14sp2,3,True
couchbase,docs-mobile,6,True
awsdocs,aws-java-developer-guide,8,True
codemonkeyspoon,Social-Revue,68,True
borisumss,LongOldLivePlus,8,True
linamacromer,TripTip,50,True
src-openeuler,perl-MemHandle,8,True
Weasyl,weasyl,278,True
RedGarage,Beto,84,True
pigskin,kodi-gamepass,13,True
youheikawaguchi,closet,11,True
prometheus,client_java-benchmarks,2,True
astronomer,astro-blog,1648,True
Victor-CapstoneEOI,EOI-Capstone,24,True
hellt,vrnetlab,103,True
CodeYourFuture,JavaScript-Core-1-Coursework-Week4,34,True
ShinhanETS,ets-demo,34,True
hp77-creator,test-git,111,True
NixOS,ngi0-infra,28,True
cloudfoundry,bosh-psmodules,2,True
The-POS,The-POS-Flutter,31,True
sf-wdi-26,homework,170,True
pobluesky,customer-inquiry-system,16,True
JoeyChiou,B20150318,4,True
Akanksha1212,C_Programs,682,True
macro161,PSK,99,True
Kurash1,FantasyWorld,144,True
Anuja-2000,article-topic-platform,167,True
linusalpsten,Skolpatrullen,4,True
ByunMinJae,KH_Front_Project,0,False
src-anolis-os,wxGTK3,4,True
Adi8080,Hactoberfest2021,823,True
opencloudos-stream,python-vine,2,True
src-openeuler,python-kickstart,4,True
ucuapps,robert,26,True
scm-spain,boros-tcf,18,True
DigitalKampong,dk-api,37,True
WishMarket,WishMarket-BE,10,True
abdalazeezS,git-session-task,10,True
accesscode-2-2,unit-2-hw-1,2,True
tamuratak,LaTeX-Workshop,146,True
src-anolis-os,qt5-qtbase,176,True
Tellyou6bu6,CSE-442-Project,5,True
pnumin,K-digital-2024-7,2,True
uksaha77,recipe-hub,54,True
JC47-TeamMajesty,majesty-space-tours,40,True
ironhack-labs,lab-javascript-vikings,10,True
UGS-GIO,forgeApp,34,True
brandonscholten,HIC-DB-2024,28,True
matrixorigin,CI,3,True
RaheemBux,super_market_store,9,True
OCR-D,core,108,True
YoussefAlmardini992,Impala-gymnastiek,8,True
ElizJogar,UNN-C-Style-Checker,14,True
MayurDeshmukh10,Sudoku,16,True
p0x6,holberton-react-workshop-homework,4,True
jktemple,Untitled-Parkour-Game,12,True
globalbrain,sefirot,45,True
CommunityHub-Qro,queretaro-si-sonrie,38,True
HSKE-Streaming-Server,media-streaming-server,81,True
Shining-Jicheon-Stars,yjg-dart-flutter-frontend,42,True
ItAcademy2023,Java_oop_basics_part_one,4,True
uprm-inso-4116-2020-2021-S1,semester-project-team-b,34,True
gti525,h19-passerelle,51,True
src-openeuler,perl-CGI-Simple,8,True
AY2021S1-CS2103T-F11-2,tp,41,True
cmss13-devs,cmss13,312,True
hanaro-3rd,frontend,32,True
hclgopalsingh,content,10,True
ARM-software,psa-arch-tests,20,True
fegemo,cefet-web-weblot,30,True
Dagorik,git-clase-master,72,True
openeuler,intel-qat,4,True
epfl-si,PhDAssess,58,True
mate-academy,py-tickets-and-orders,43,True
aws-samples,ec2-classic-resource-finder,15,True
grafana,stackdriver_exporter,58,True
pagopa,pn-radd-alt,15,True
opencloudos-stream,asio,2,True
andela,caret-bn-backend,28,True
yudhiesh,week1-devops,10,True
GroupACEN3031,Sprint1,72,True
diegoew,gas_monitor,40,True
raghunat,fall-2018,10,True
opencloudos-stream,mobile-broadband-provider-info,2,True
quanteda,quanteda.org,24,True
GiliazovaPullrequests,VersionControl_Seminar3,2,True
OleksiukStepan,library-service-api,126,True
src-openeuler,python-werkzeug,10,True
stfc,xrootd-ceph,46,True
asterinas,lmbench,369,True
reprograma,on20-tet-s5-logica-js,14,True
praktikum-pl-ife-2016,soal6,8,True
swiftinsg,About-Us-2022,8,True
src-anolis-os,python-cloudpickle,4,True
thedavidmeister,dim-valley,19,True
open-horizon,open-horizon-release,4,True
Azure,enterprise-chat,61,True
SaltyQuetzals,picachu,90,True
estevez-dev,ha_client,90,True
notweuz,FNF-OSEngine,211,True
Ana-vitoria-nunes,PagueCerto1,8,True
skyboy,MineFactoryReloaded,8,True
tuwaiq-ios,day62-lab1-coredata,2,True
src-openeuler,libiodbc,9,True
src-openeuler,xfwm4,5,True
dsc-sookmyung,2024-02-Android-Study,25,True
13Blackmagic,What-we-drinkin,54,True
kaygar86,team_12_project,18,True
enpitut2018,hakohugu_winter,62,True
CodeTheDream,TFA-lesson-bank,76,True
RahafB,bash_basics,38,True
emqx,emqx-terraform-docs,10,True
openstack-k8s-operators,install_yamls,103,True
silvam22,workout_tracker,62,True
intive,patronage22_poznan_js,68,True
src-openeuler,ghc-zip-archive,8,True
zeca9189,2016SpringCSE406,52,True
lassiterda,project-3,46,True
lawrencemsteven,BFBB,192,True
src-anolis-os,perl-HTTP-Message,2,True
Computational-Content-Analysis-2020,Readings-Responses-Spring,2,True
Piotr-Glab495,SportEventManager,12,True
ferdium,ferdium-recipes,33,True
TelRanTest,TelRunGit,86,True
beatlink-epfl,beatlink,19,True
jina-ai,executor-text-laser-encoder,25,True
yasatr,PSS_capStone_E-Learning,12,True
tapaswenipathak,Internship,4,True
go-kratos,go-kratos.dev,24,True
GuillaumeGomez,test-rust-docs-ui,36,True
Nienkedn,Nieuwsanalyse8,35,True
branoholy,update-files-action,60,True
mozilla,srg-pre-crawl-utils,34,True
TelerikAcademy,JavaScript-OOP,6,True
AusTINCANsProgrammingTeam,2022Swerve,26,True
src-anolis-os,s390utils,2,True
capstoneteamb,capstone360,146,True
Fifis-Organization,Brocoli-se,8,True
WilliamDodds123,NoMeaslyFeat,66,True
grafana,astradb-datasource,65,True
puppetlabs,waitfor,2,True
WDI-SEA,Sample-Project-Git-Workflow,40,True
APisDriven,gitPayd,22,True
aws-samples,lambda-web-scraper-example,17,True
web-building-blocks,shadcn-ui,44,True
khanhdx,DATN_WD_08_FA24,71,True
manabie-com,togo,2,True
src-anolis-os,perl-Devel-Cycle,2,True
HarvestHaven,TPOT-Next,176,True
V-Sekai,v-sekai-game,25,True
laysgabrielle,biblia-em-ordem,16,True
lsalluri,myfuel.ai,0,False
algorithm006-class02,algorithm006-class02,2,True
Fenshway,itsc-4155-project,30,True
221230pm362,semiRepo,2,True
src-openeuler,ros2_hls_lfcd_lds_driver,9,True
Halium,docs,41,True
src-anolis-os,perl-DateTime-Format-Builder,2,True
opencloudos-stream,perl-XML-NamespaceSupport,2,True
shrubjc,bjc-tech,24,True
metabase,sdk-kotlin-spring-be-example,8,True
AY2021S2-CS2103T-W13-3,tp,41,True
Ferlab-Ste-Justine,clin-pipelines-dags,145,True
EfficientElephants,project2020,61,True
sd16spring,TextMining,2,True
openkylin,libio-stringy-perl,4,True
CSCI3308-Fall22,CSCI-3308_Group_Project_Team_015-01,30,True
ayushpreenza07,SalesforceAutomation,57,True
department-of-veterans-affairs,cql-transpiler,51,True
CS2103-AY1819S1-T09-3,main,47,True
WSO2Telco,component-dep,10,True
mkulesh,onpc,26,True
src-openeuler,ghc-cookie,8,True
learn-co-students,html-issue-bot-9000-vfa-2018-v2,10,True
UCL-MPHY0021-21-22,average_squares,3,True
Guptacos,spotifython,96,True
elastos,Elastos.ELA,260,True
ub-cse442,election-and-data-sci,441,True
UEHMonQAQC,23_902,0,False
CSID-DGU,2021-1-OSSP1-GONGSSOCOOL-3,68,True
src-anolis-os,libid3tag,2,True
zzooong2,TeamProject_VibeVillage,15,True
gracexcabrera,Shadowed,62,True
m16u3l,asignacionDeTribunales,75,True
DeadlineShooters,Ads-Management,81,True
bbangHo,condingTest,7,True
MovieBook-2,moviebook,8,True
Beleguic,ChallengeStack2,16,True
koorukuroo,pda_5th,72,True
develhope,Java17-Team2-Dealer,5,True
asrjccp,perse24,2,True
aiscience-22,UA_War,56,True
hacktoolkit,django-htk,463,True
rabbitmq,rabbitmq-prometheus,60,True
apache,apisix-website,84,True
aws-samples,aws-genomics-workflows,35,True
calblueprint,chinese-newcomers,52,True
kaltura,swiv,51,True
CTQPuebla,JavaSept22,0,False
src-anolis-os,python-sphinxcontrib-devhelp,4,True
