repo_owner,repo_name,activity_score,inovation_score,complexity_score
jOOQ,jOOQ,777.81,0,114
square,okio,229.98,128.2051,79
alibaba,fastjson2,1231.51,19.4932,125
quarkusio,quarkus,8396.93,0,127
vavr-io,vavr,179.15,75.188,29
neo4j,neo4j,474.75,0,21
elastic,elasticsearch,11277.96,0,148
infinispan,infinispan,1107.99,0,149
wildfly,wildfly,1349.67,0,100
hazelcast,hazelcast,499.32,78.8955,54
eclipse-vertx,vert.x,485.3,0,17
cucumber,cucumber-jvm,204.67,0,136
eclipse,microprofile,74.49,0,19
apache,iceberg,4346.12,29.8507,85
grpc,grpc-java,1355.36,0,224
graphql-java,graphql-java,425.83,82.6446,54
reactor,reactor-core,452.52,46.729,55
google,guava,558.33,25.8398,57
square,leakcanary,186.84,0,65
google,auto,180.52,0,25
