platform,repo_name
github,J3LopezL/sanbryjoha
github,kitab-bazar/server
gitee,src-anolis-os/libgpod
github,krystianklimczak/teamproject-html-css-anemone
github,databricks/pileup.js
github,RavenProject/ravenproject.github.io
github,SHAZzZ97/GitDemoRepo
github,SENAI-Morvan-Figueiredo/ClinicaVolkmann
github,intercom/intercom-cordova
github,AliyunContainerService/ackdistro
github,mosn/configure
gitee,src-openeuler/perl-Pod-Coverage
github,opensearch-project/documentation-website
github,leenlab2/reminiscence
github,rapid7/pcaprub
github,Bogdawaa/iOS-FakeNFT-StarterProject-Public
github,372dev/CultureMate
github,marwankau/cpit210-activity-3
github,eielelle/gradify-web
github,gustavoromito/eng-project
github,flowriteapp/flowrite
github,kubevirt/demo
github,NikolaySavenko/bignum-wizard
github,Pray2U/Algorithm-Study
github,temty180447/Calculator_-
github,navikt/tilleggsstonader-sak-frontend
gitee,src-openeuler/jbossws-parent
gitee,src-openeuler/openstack-neutron-vpnaas
gitee,src-openeuler/crash
github,phrack/ShootOFF
github,Ureca-team-for-Miniproject/URECA-Cinema
github,ViveportSoftware/pc-lib
github,takamuu/obento_takeout_app
github,AIIT-OikawaPBL-2023/slack_bolt_sample
gitee,HarmonyOS-tpc/MaterialProgressBar
gitee,src-openeuler/python-flake8-polyfill
github,justinberg97/digital-wine-cellar
github,Azure/azure-functions-vscode-web
github,gasashi/freemarket_sample_65a
github,Codubee/FoodFiendsMW5-6
gitee,src-openeuler/glassfish-jsp
github,jenkinsci/byte-buddy-api-plugin
github,eclipse/emf-query
github,Hack4Impact-Princeton/alp-portal
github,butlerch/Capstone_2022_2023
github,ngaut/unistore
github,aemsites/vg-roadchoice-com
github,YandexPraktikumDublin/PotatozationOfMars
github,sf-wdi-26/homework
github,IBM/dap-blueprint
github,hellt/vrnetlab
gitee,src-anolis-dde/kde-settings
github,apache/sling-org-apache-sling-validation-api
github,apache/sling-org-apache-sling-validation-test-services
gitee,src-openeuler/nodejs-set-immediate-shim
github,zukva/krokodiller
github,SimonStevns/gruppe14sp2
github,couchbase/docs-mobile
github,codemonkeyspoon/Social-Revue
github,awsdocs/aws-java-developer-guide
github,Weasyl/weasyl
github,linamacromer/TripTip
github,borisumss/LongOldLivePlus
github,RedGarage/Beto
gitee,src-openeuler/perl-MemHandle
github,pigskin/kodi-gamepass
github,astronomer/astro-blog
github,Akanksha1212/C_Programs
github,youheikawaguchi/closet
github,prometheus/client_java-benchmarks
github,Victor-CapstoneEOI/EOI-Capstone
github,CodeYourFuture/JavaScript-Core-1-Coursework-Week4
github,The-POS/The-POS-Flutter
github,ShinhanETS/ets-demo
github,NixOS/ngi0-infra
github,hp77-creator/test-git
github,cloudfoundry/bosh-psmodules
github,pobluesky/customer-inquiry-system
github,Adi8080/Hactoberfest2021
github,Kurash1/FantasyWorld
github,JoeyChiou/B20150318
github,Anuja-2000/article-topic-platform
github,macro161/PSK
github,tamuratak/LaTeX-Workshop
github,ucuapps/robert
github,linusalpsten/Skolpatrullen
github,ByunMinJae/KH_Front_Project
github,DigitalKampong/dk-api
gitee,src-anolis-os/wxGTK3
github,scm-spain/boros-tcf
gitee,opencloudos-stream/python-vine
gitee,src-openeuler/python-kickstart
github,abdalazeezS/git-session-task
github,WishMarket/WishMarket-BE
github,accesscode-2-2/unit-2-hw-1
github,Tellyou6bu6/CSE-442-Project
gitee,src-anolis-os/qt5-qtbase
github,ironhack-labs/lab-javascript-vikings
github,pnumin/K-digital-2024-7
github,uksaha77/recipe-hub
github,OCR-D/core
github,brandonscholten/HIC-DB-2024
github,JC47-TeamMajesty/majesty-space-tours
github,matrixorigin/CI
github,UGS-GIO/forgeApp
github,RaheemBux/super_market_store
github,YoussefAlmardini992/Impala-gymnastiek
github,cmss13-devs/cmss13
github,ElizJogar/UNN-C-Style-Checker
github,MayurDeshmukh10/Sudoku
github,HSKE-Streaming-Server/media-streaming-server
github,globalbrain/sefirot
github,p0x6/holberton-react-workshop-homework
github,Shining-Jicheon-Stars/yjg-dart-flutter-frontend
github,jktemple/Untitled-Parkour-Game
github,CommunityHub-Qro/queretaro-si-sonrie
github,uprm-inso-4116-2020-2021-S1/semester-project-team-b
github,AY2021S1-CS2103T-F11-2/tp
github,gti525/h19-passerelle
github,ItAcademy2023/Java_oop_basics_part_one
github,epfl-si/PhDAssess
gitee,src-openeuler/perl-CGI-Simple
github,hanaro-3rd/frontend
github,ARM-software/psa-arch-tests
github,fegemo/cefet-web-weblot
github,hclgopalsingh/content
github,Dagorik/git-clase-master
github,grafana/stackdriver_exporter
gitee,openeuler/intel-qat
github,pagopa/pn-radd-alt
github,mate-academy/py-tickets-and-orders
github,GroupACEN3031/Sprint1
github,aws-samples/ec2-classic-resource-finder
github,andela/caret-bn-backend
github,yudhiesh/week1-devops
gitee,opencloudos-stream/asio
github,OleksiukStepan/library-service-api
github,quanteda/quanteda.org
github,raghunat/fall-2018
github,diegoew/gas_monitor
github,stfc/xrootd-ceph
github,asterinas/lmbench
gitee,opencloudos-stream/mobile-broadband-provider-info
github,GiliazovaPullrequests/VersionControl_Seminar3
github,reprograma/on20-tet-s5-logica-js
github,SaltyQuetzals/picachu
gitee,src-openeuler/python-werkzeug
github,estevez-dev/ha_client
github,praktikum-pl-ife-2016/soal6
github,thedavidmeister/dim-valley
github,swiftinsg/About-Us-2022
github,Azure/enterprise-chat
gitee,src-anolis-os/python-cloudpickle
github,notweuz/FNF-OSEngine
github,open-horizon/open-horizon-release
github,13Blackmagic/What-we-drinkin
github,Ana-vitoria-nunes/PagueCerto1
github,skyboy/MineFactoryReloaded
github,enpitut2018/hakohugu_winter
github,dsc-sookmyung/2024-02-Android-Study
github,tuwaiq-ios/day62-lab1-coredata
github,CodeTheDream/TFA-lesson-bank
gitee,src-openeuler/libiodbc
gitee,src-openeuler/xfwm4
github,kaygar86/team_12_project
github,silvam22/workout_tracker
github,intive/patronage22_poznan_js
github,emqx/emqx-terraform-docs
github,openstack-k8s-operators/install_yamls
github,RahafB/bash_basics
github,zeca9189/2016SpringCSE406
github,lassiterda/project-3
github,ferdium/ferdium-recipes
github,lawrencemsteven/BFBB
gitee,src-openeuler/ghc-zip-archive
github,Piotr-Glab495/SportEventManager
github,Computational-Content-Analysis-2020/Readings-Responses-Spring
gitee,src-anolis-os/perl-HTTP-Message
github,go-kratos/go-kratos.dev
github,beatlink-epfl/beatlink
github,yasatr/PSS_capStone_E-Learning
github,TelRanTest/TelRunGit
github,jina-ai/executor-text-laser-encoder
github,branoholy/update-files-action
github,GuillaumeGomez/test-rust-docs-ui
github,tapaswenipathak/Internship
github,Nienkedn/Nieuwsanalyse8
github,AusTINCANsProgrammingTeam/2022Swerve
github,mozilla/srg-pre-crawl-utils
github,TelerikAcademy/JavaScript-OOP
github,capstoneteamb/capstone360
github,HarvestHaven/TPOT-Next
github,grafana/astradb-datasource
gitee,src-anolis-os/s390utils
github,WilliamDodds123/NoMeaslyFeat
github,Fifis-Organization/Brocoli-se
github,khanhdx/DATN_WD_08_FA24
github,puppetlabs/waitfor
github,web-building-blocks/shadcn-ui
github,WDI-SEA/Sample-Project-Git-Workflow
github,APisDriven/gitPayd
github,algorithm006-class02/algorithm006-class02
github,aws-samples/lambda-web-scraper-example
github,V-Sekai/v-sekai-game
github,manabie-com/togo
github,laysgabrielle/biblia-em-ordem
gitee,src-anolis-os/perl-Devel-Cycle
github,Halium/docs
github,Fenshway/itsc-4155-project
github,lsalluri/myfuel.ai
github,elastos/Elastos.ELA
github,shrubjc/bjc-tech
github,221230pm362/semiRepo
gitee,src-openeuler/ros2_hls_lfcd_lds_driver
gitee,opencloudos-stream/perl-XML-NamespaceSupport
gitee,src-anolis-os/perl-DateTime-Format-Builder
github,department-of-veterans-affairs/cql-transpiler
github,metabase/sdk-kotlin-spring-be-example
github,AY2021S2-CS2103T-W13-3/tp
github,EfficientElephants/project2020
github,Ferlab-Ste-Justine/clin-pipelines-dags
github,CSCI3308-Fall22/CSCI-3308_Group_Project_Team_015-01
github,sd16spring/TextMining
github,ayushpreenza07/SalesforceAutomation
gitee,openkylin/libio-stringy-perl
github,CS2103-AY1819S1-T09-3/main
github,ub-cse442/election-and-data-sci
github,mkulesh/onpc
github,WSO2Telco/component-dep
github,learn-co-students/html-issue-bot-9000-vfa-2018-v2
github,Guptacos/spotifython
gitee,src-openeuler/ghc-cookie
github,gracexcabrera/Shadowed
github,UCL-MPHY0021-21-22/average_squares
github,CSID-DGU/2021-1-OSSP1-GONGSSOCOOL-3
github,m16u3l/asignacionDeTribunales
github,UEHMonQAQC/23_902
github,zzooong2/TeamProject_VibeVillage
github,bnajafi/BuildingSimulationProject_Polimi_TES
gitee,src-anolis-os/libid3tag
github,koorukuroo/pda_5th
github,DeadlineShooters/Ads-Management
github,hacktoolkit/django-htk
github,bbangHo/condingTest
github,Beleguic/ChallengeStack2
github,MovieBook-2/moviebook
github,develhope/Java17-Team2-Dealer
github,aiscience-22/UA_War
github,apache/apisix-website
github,asrjccp/perse24
github,kaltura/swiv
github,rabbitmq/rabbitmq-prometheus
github,aws-samples/aws-genomics-workflows
github,TeamStoic/StoicChess
github,calblueprint/chinese-newcomers
