repo_name,complexity_score,innovation_score,popularity_score
J3LopezL/sanbryjoha,0.04,0.0,0.0
kitab-bazar/server,0.25,0.0,0.0
src-anolis-os/libgpod,0.16,3.64,78.31
krystianklimczak/teamproject-html-css-anemone,0.82,0.0,0.0
databricks/pileup.js,1.84,0.0,78.31
RavenProject/ravenproject.github.io,1.76,0.0,87.83
SHAZzZ97/GitDemoRepo,3.29,3.9,90.18
SENAI-Morvan-Figueiredo/ClinicaVolkmann,0.22,0.0,0.0
intercom/intercom-cordova,0.43,0.0,78.71
AliyunContainerService/ackdistro,0.47,0.0,94.51
mosn/configure,2.14,0.0,0.0
src-openeuler/perl-Pod-Coverage,1.18,4.01,78.31
opensearch-project/documentation-website,2.23,0.0,32.34
leenlab2/reminiscence,0.25,1.62,85.76
rapid7/pcaprub,0.63,0.0,0.0
Bogdawaa/iOS-FakeNFT-StarterProject-Public,0.18,0.0,85.76
372dev/CultureMate,0.55,0.0,0.0
marwankau/cpit210-activity-3,0.18,0.0,97.95
eielelle/gradify-web,1.41,0.0,42.88
gustavoromito/eng-project,0.16,0.0,64.88
flowriteapp/flowrite,0.27,0.0,0.0
kubevirt/demo,1.23,0.0,93.26
NikolaySavenko/bignum-wizard,0.18,0.0,42.88
Pray2U/Algorithm-Study,0.08,0.0,0.0
temty180447/Calculator_-,0.37,0.0,0.0
navikt/tilleggsstonader-sak-frontend,1.65,4.29,0.0
src-openeuler/jbossws-parent,0.45,0.0,97.23
src-openeuler/openstack-neutron-vpnaas,2.55,0.0,87.12
src-openeuler/crash,0.39,0.0,77.27
phrack/ShootOFF,0.61,0.0,81.34
Ureca-team-for-Miniproject/URECA-Cinema,3.8,0.0,0.0
ViveportSoftware/pc-lib,0.33,0.0,85.76
takamuu/obento_takeout_app,0.18,0.0,0.0
AIIT-OikawaPBL-2023/slack_bolt_sample,0.08,0.0,0.0
HarmonyOS-tpc/MaterialProgressBar,1.37,0.0,85.76
src-openeuler/python-flake8-polyfill,15.09,0.0,0.0
justinberg97/digital-wine-cellar,0.33,0.0,0.0
Azure/azure-functions-vscode-web,0.24,0.0,78.31
gasashi/freemarket_sample_65a,1.02,0.0,42.88
Codubee/FoodFiendsMW5-6,0.2,0.0,0.0
src-openeuler/glassfish-jsp,1.88,0.0,97.23
jenkinsci/byte-buddy-api-plugin,1.02,0.0,64.88
eclipse/emf-query,1.08,0.0,78.31
Hack4Impact-Princeton/alp-portal,2.67,0.0,87.12
butlerch/Capstone_2022_2023,1.33,24.0,42.88
ngaut/unistore,4.53,6.25,94.73
aemsites/vg-roadchoice-com,2.65,0.0,85.76
YandexPraktikumDublin/PotatozationOfMars,0.08,0.0,0.0
sf-wdi-26/homework,0.24,0.0,97.95
IBM/dap-blueprint,0.2,0.0,78.31
hellt/vrnetlab,0.18,0.0,74.1
src-anolis-dde/kde-settings,4.68,1.73,0.0
apache/sling-org-apache-sling-validation-api,0.55,0.0,64.88
apache/sling-org-apache-sling-validation-test-services,4.66,0.0,78.31
src-openeuler/nodejs-set-immediate-shim,0.06,0.0,87.12
zukva/krokodiller,0.12,8.57,0.0
SimonStevns/gruppe14sp2,0.16,8.82,0.0
couchbase/docs-mobile,1.33,0.0,42.88
codemonkeyspoon/Social-Revue,0.16,0.0,0.0
awsdocs/aws-java-developer-guide,0.98,0.0,81.57
Weasyl/weasyl,0.16,0.0,97.38
linamacromer/TripTip,5.45,0.0,0.0
borisumss/LongOldLivePlus,1.65,0.0,85.76
RedGarage/Beto,0.25,3.66,78.31
src-openeuler/perl-MemHandle,0.22,0.0,42.88
pigskin/kodi-gamepass,0.04,0.0,81.16
astronomer/astro-blog,32.29,0.0,85.76
Akanksha1212/C_Programs,0.47,0.0,45.41
youheikawaguchi/closet,2.02,0.0,64.88
prometheus/client_java-benchmarks,0.67,0.0,85.76
Victor-CapstoneEOI/EOI-Capstone,0.67,0.0,0.0
CodeYourFuture/JavaScript-Core-1-Coursework-Week4,2.18,25.0,35.65
The-POS/The-POS-Flutter,0.55,0.0,83.07
ShinhanETS/ets-demo,0.04,0.0,42.88
NixOS/ngi0-infra,0.61,9.6,0.0
hp77-creator/test-git,3.33,0.0,0.0
cloudfoundry/bosh-psmodules,0.31,16.51,0.0
pobluesky/customer-inquiry-system,0.08,2.68,0.0
Adi8080/Hactoberfest2021,13.36,0.0,48.98
Kurash1/FantasyWorld,1.94,0.0,0.0
JoeyChiou/B20150318,2.82,0.0,94.06
Anuja-2000/article-topic-platform,3.27,0.0,87.12
macro161/PSK,0.08,0.0,85.76
tamuratak/LaTeX-Workshop,0.0,0.0,85.76
ucuapps/robert,0.08,0.0,78.31
linusalpsten/Skolpatrullen,16.13,0.0,0.0
ByunMinJae/KH_Front_Project,0.04,0.0,42.88
DigitalKampong/dk-api,0.08,0.0,64.88
src-anolis-os/wxGTK3,0.51,0.0,42.88
scm-spain/boros-tcf,0.35,0.0,85.76
opencloudos-stream/python-vine,0.73,0.0,64.88
src-openeuler/python-kickstart,0.2,0.0,64.88
abdalazeezS/git-session-task,0.2,0.0,85.76
WishMarket/WishMarket-BE,0.04,0.0,42.88
accesscode-2-2/unit-2-hw-1,2.86,0.0,92.11
Tellyou6bu6/CSE-442-Project,3.45,3.57,42.88
src-anolis-os/qt5-qtbase,0.1,9.6,99.79
ironhack-labs/lab-javascript-vikings,0.04,0.0,3.62
pnumin/K-digital-2024-7,1.06,0.0,96.99
uksaha77/recipe-hub,0.78,1.93,87.12
OCR-D/core,0.2,0.0,98.86
brandonscholten/HIC-DB-2024,0.67,0.0,0.0
JC47-TeamMajesty/majesty-space-tours,0.55,0.0,0.0
matrixorigin/CI,0.06,1.11,78.31
UGS-GIO/forgeApp,0.18,0.0,85.76
RaheemBux/super_market_store,2.12,16.44,85.76
YoussefAlmardini992/Impala-gymnastiek,0.16,0.0,0.0
cmss13-devs/cmss13,0.27,0.0,28.58
ElizJogar/UNN-C-Style-Checker,0.31,0.0,70.99
MayurDeshmukh10/Sudoku,0.08,2.26,0.0
HSKE-Streaming-Server/media-streaming-server,0.24,0.0,0.0
globalbrain/sefirot,0.88,0.0,90.34
p0x6/holberton-react-workshop-homework,0.74,0.0,0.0
Shining-Jicheon-Stars/yjg-dart-flutter-frontend,1.59,0.0,78.31
jktemple/Untitled-Parkour-Game,0.82,0.0,0.0
CommunityHub-Qro/queretaro-si-sonrie,0.08,0.0,64.88
uprm-inso-4116-2020-2021-S1/semester-project-team-b,0.67,12.5,64.88
AY2021S1-CS2103T-F11-2/tp,1.0,0.0,78.31
gti525/h19-passerelle,0.16,0.0,42.88
ItAcademy2023/Java_oop_basics_part_one,0.8,0.0,0.0
epfl-si/PhDAssess,6.11,0.0,0.0
src-openeuler/perl-CGI-Simple,0.63,0.0,78.31
hanaro-3rd/frontend,0.2,0.0,64.88
ARM-software/psa-arch-tests,0.39,2.58,88.66
fegemo/cefet-web-weblot,0.59,0.0,71.64
hclgopalsingh/content,1.41,0.0,85.76
Dagorik/git-clase-master,0.08,8.16,42.88
grafana/stackdriver_exporter,1.14,0.0,42.88
openeuler/intel-qat,0.84,0.0,42.88
pagopa/pn-radd-alt,0.29,0.67,0.0
mate-academy/py-tickets-and-orders,1.14,0.93,9.37
GroupACEN3031/Sprint1,0.29,0.0,0.0
aws-samples/ec2-classic-resource-finder,0.04,0.0,79.36
andela/caret-bn-backend,0.55,0.0,64.88
yudhiesh/week1-devops,0.2,2.14,48.18
opencloudos-stream/asio,1.41,0.0,64.88
OleksiukStepan/library-service-api,0.78,0.0,42.88
quanteda/quanteda.org,0.2,0.0,0.0
raghunat/fall-2018,0.04,0.0,98.88
diegoew/gas_monitor,0.47,0.0,64.88
stfc/xrootd-ceph,0.04,0.0,93.11
asterinas/lmbench,2.47,0.0,87.12
opencloudos-stream/mobile-broadband-provider-info,0.2,0.0,64.88
GiliazovaPullrequests/VersionControl_Seminar3,0.9,0.0,31.98
reprograma/on20-tet-s5-logica-js,7.23,0.0,83.77
SaltyQuetzals/picachu,0.27,4.58,64.88
src-openeuler/python-werkzeug,0.16,0.0,92.11
estevez-dev/ha_client,0.16,0.0,0.0
praktikum-pl-ife-2016/soal6,0.08,0.0,83.77
thedavidmeister/dim-valley,0.37,0.0,42.88
swiftinsg/About-Us-2022,0.08,2.21,81.23
Azure/enterprise-chat,1.2,0.0,42.88
src-anolis-os/python-cloudpickle,1.76,0.0,42.88
notweuz/FNF-OSEngine,1.76,0.0,71.63
open-horizon/open-horizon-release,4.13,0.0,64.88
13Blackmagic/What-we-drinkin,0.16,0.0,0.0
Ana-vitoria-nunes/PagueCerto1,0.16,0.0,0.0
skyboy/MineFactoryReloaded,0.04,0.0,88.72
enpitut2018/hakohugu_winter,0.18,3.38,42.88
dsc-sookmyung/2024-02-Android-Study,0.1,0.0,0.0
